TED_waveform,TED_transcript
2792_AdamSavage_2016,and they did they gave me one i went home with this beautiful cardboard tub
2793_AdamSavage_2016,i was trying to figure out what i could do with this exotic material metal ring top and bottom i started turning it over in my head and i realized wait a minute
2794_AdamSavage_2016,my head actually fits inside this thing yeah <unk> i cut a hole out i put some acetate in there and i made myself a space helmet
2795_AdamSavage_2016,<unk> i needed a place to wear the space helmet
2796_AdamSavage_2016,so i found a refrigerator box a couple blocks from home i pushed it home and in my parents '
2797_AdamSavage_2016,guest room closet i turned it into a spaceship <unk> i started with a control panel out of cardboard i cut a hole for a radar screen and put a flashlight underneath it to light <unk>
2798_AdamSavage_2016,<unk> it i put a view screen up which i offset off the back wall and this is where i thought i was being really clever without permission
2799_AdamSavage_2016,<unk> i painted the back wall of the closet black and put a star field which i lit up with some christmas lights
2800_AdamSavage_2016,i found in the attic <unk> and i went on some space missions
2801_AdamSavage_2016,a couple years later <unk> the movie jaws came out i was way too young to see it but i was caught up in jaws fever like everyone else in america at the time there
2802_AdamSavage_2016,<unk> store in my town that had a jaws costume in their window and my mom must have overheard me talking to someone about how awesome i thought this costume was because a couple days before halloween she blew my freaking mind
2803_AdamSavage_2016,by giving me this jaws costume
2804_AdamSavage_2016,now <unk> i recognize it 's a bit of a trope for people of a certain age to complain that kids these days have no idea how good they have it
2805_AdamSavage_2016,<unk> but let me just show you a random sampling of entry level kids ' costumes you can buy online right now and this is the
2806_AdamSavage_2016,my mom bought for me
2807_AdamSavage_2016,this is a paper thin shark face and a vinyl bib with the poster of jaws on it
2808_AdamSavage_2016,and i loved it a
2809_AdamSavage_2016,couple years later my dad took me to a film called excalibur i actually got him to take me to it twice which is no small thing because it is a hard
2810_AdamSavage_2016,<unk> but it wasn 't the blood and guts or the boobs that made me want to go see it again <unk> they helped it was the armor the armor in <unk>
2811_AdamSavage_2016,<unk> beautiful to me these were literally knights in shining
2812_AdamSavage_2016,armor and moreover the knights in excalibur wear their armor everywhere all the time they wear it at dinner <unk> they wear it to bed
2813_AdamSavage_2016,i was like are they reading my mind <unk> i want to wear armor all the time laughter
2814_AdamSavage_2016,so i went back to my favorite material the gateway drug for making corrugated cardboard and i made myself a suit of armor <unk>
2815_AdamSavage_2016,replete with the neck shields and a white horse now that i 've oversold it here 's a picture of the armor that i made
2816_AdamSavage_2016,<unk> this is only the first suit of armor i made inspired by excalibur a couple of years later <unk> i convinced my dad to embark on making me a proper suit of armor
2817_AdamSavage_2016,over about a month he graduated me from cardboard to roofing aluminum called flashing and still one of my all time favorite attachment materials
2818_AdamSavage_2016,<unk> we carefully over that month constructed an articulated suit of aluminum armor with compound curves we drilled holes in the helmet so that i could breathe
2819_AdamSavage_2016,and i finished just in time for halloween and wore it to school <unk> now <unk> this is the one thing in this talk that i don 't have a slide to show you because no photo exists of this armor
2820_AdamSavage_2016,i did wear it to school <unk> there was a yearbook photographer patrolling the halls but he never found me for reasons that are about to become
2821_AdamSavage_2016,<unk> there were things i didn 't anticipate about wearing a complete suit of aluminum armor
2822_AdamSavage_2016,to school
2823_AdamSavage_2016,in third period math i was standing in the back of class and i 'm standing in the back of class because the armor did not allow me to sit down
2824_AdamSavage_2016,this is the first thing i didn 't anticipate and then my teacher looks at me sort of concerned about halfway through the class and says are you feeling ok i 'm thinking are you
2825_AdamSavage_2016,<unk> feeling ok i 'm wearing a suit of armor
2826_AdamSavage_2016,i am having the time of my and i 'm just about to tell her how great i feel when the classroom starts to list to the left and disappear down this long tunnel and then i woke up in the nurse 's office
2827_AdamSavage_2016,<unk> i had passed out from heat exhaustion wearing the armor <unk> and when i woke up i wasn 't embarrassed about having passed out in front of my class
2828_AdamSavage_2016,<unk> a whole bunch of years some colleagues and i get hired to make a show for discovery channel called mythbusters and over fourteen years <unk> i learn on the job how to build experimental methodologies and how to tell stories about them for television
2829_AdamSavage_2016,i also learn early on that costuming can play a key role in this storytelling i use costumes to add humor <unk> comedy <unk> color and narrative clarity to the stories we 're telling
2830_AdamSavage_2016,<unk> then we do an episode called dumpster diving and i learn a little bit more about the deeper implications of what costuming means to me in
2831_AdamSavage_2016,the episode dumpster diving the question we were trying to answer is is jumping into a dumpster as safe as the movies would lead you to believe laughter
2832_AdamSavage_2016,the episode was going to have two distinct parts to
2833_AdamSavage_2016,one was where we get trained to jump off buildings by a stuntman into an air bag
2834_AdamSavage_2016,and the second was the graduation to the experiment we 'd fill a dumpster full of material and we 'd jump into it i wanted to visually separate these two elements <unk> and i thought well
2835_AdamSavage_2016,for the first part we 're training so we should wear
2836_AdamSavage_2016,sweatsuits oh let 's put ' stunt trainee ' on the back of the sweatsuits that 's for the training but for the second part i wanted something really visually
2837_AdamSavage_2016,<unk> so i went to haight street i bought some beautiful knee high
2838_AdamSavage_2016,buckle boots i found a long flowing coat on ebay i got sunglasses which i had to wear contact lenses in order to wear the day of the experiment shoot comes up and i step out of my car in this costume and my crew takes a look at me
2839_AdamSavage_2016,and start suppressing their church giggles <unk> they 're like
2840_AdamSavage_2016,total embarrassment over the fact that it 's so nakedly clear to my crew that i 'm completely into wearing this costume
2841_AdamSavage_2016,laughter but the producer in my mind reminds myself that in the high speed shot in slow mo that flowing coat is going to look beautiful behind me
2842_AdamSavage_2016,five years into the mythbusters
2843_AdamSavage_2016,<unk> we got invited to appear at san diego comic con i 'd known about comic con for years and never had time to go this was the big leagues this was costuming mecca people <unk>
2844_AdamSavage_2016,<unk> fly in from all over the world to show their amazing creations on the floor in san diego and i wanted to participate i decided that i would put together an elaborate costume that covered me completely and i would walk the floor of san diego <unk> comic con anonymously
2845_AdamSavage_2016,<unk> the costume i chose hellboy that 's not my costume that 's actually hellboy
2846_AdamSavage_2016,but i spent months assembling the most screen accurate hellboy costume i could from the boots to the belt to the pants to the right hand of doom i found a guy who made a prosthetic <unk>
2847_AdamSavage_2016,<unk> hellboy head and chest and i put them on i even had contact lenses made in my prescription i wore it onto the floor at comic con and i can 't even tell you how balls hot it was in that costume
2848_AdamSavage_2016,<unk> sweating i should 've remembered this i 'm sweating buckets and the contact lenses hurt my eyes and none of it matters because i 'm totally in love
2849_AdamSavage_2016,not just with the process of putting on this costume and walking the floor but also with the community of other costumers it 's not called costuming at cons
2850_AdamSavage_2016,<unk> now ostensibly cosplay means people who dress up as their favorite characters from film and television and especially anime but it is so much more than that these aren 't just people who <unk>
2851_AdamSavage_2016,<unk> find a costume and put it on they mash them up they bend them to their will they change them to be the characters they want to be in those productions they 're super clever and genius they let their freak flag fly and it 's
2852_AdamSavage_2016,<unk> but more than that they rehearse their costumes at comic con or any other con you don 't just take pictures of people walking around you go up and say hey i like your costume can i take your picture and then you <unk>
2853_AdamSavage_2016,give them time to get into their pose they 've worked hard on their pose to make their costume look great for your camera <unk> and it 's so beautiful to watch <unk>
2854_AdamSavage_2016,<unk> and i take this to heart at subsequent cons i learn heath ledger 's shambling walk as the joker from the dark knight
2855_AdamSavage_2016,<unk> how to be a scary ringwraith from lord of the rings and i actually frighten some children i learned that <unk>
2856_AdamSavage_2016,<unk> head laugh that chewbacca does <unk>
2857_AdamSavage_2016,and then i dressed up as no face from spirited away
2858_AdamSavage_2016,if you don 't know about spirited away and its director hayao miyazaki first of all you 're welcome this
2859_AdamSavage_2016,is a masterpiece and one of my all time favorite films it 's about a young girl named
2860_AdamSavage_2016,gets lost in the spirit world in an abandoned japanese theme park
2861_AdamSavage_2016,and she finds her way back out again with the help of a couple of friends she makes a captured dragon named <unk> haku and a lonely demon named <unk>
2862_AdamSavage_2016,<unk> is lonely and he wants to make friends and he thinks the way to do it is by luring them to him and producing gold in his
2863_AdamSavage_2016,<unk> but this doesn 't go very well and so he ends up going on kind of a rampage until chihiro saves him rescues him <unk>
2864_AdamSavage_2016,so i put together a no face costume
2865_AdamSavage_2016,and i wore it on the floor at comic con
2866_AdamSavage_2016,and i very carefully practiced no face 's gestures i resolved i would not speak in this costume at all
2867_AdamSavage_2016,when people asked to take my picture i would nod and and i would shyly stand next to them
2868_AdamSavage_2016,<unk> they would take the picture and then i would secret out from behind my robe a chocolate gold coin and at the end of the photo process i 'd make it appear for them <unk>
2869_AdamSavage_2016,like that and people were freaking out holy crap gold from no face oh my god this is so cool and i 'm feeling and i 'm walking the floor and it 's fantastic and
2870_AdamSavage_2016,about fifteen minutes in something happens <unk>
2871_AdamSavage_2016,somebody grabs my
2872_AdamSavage_2016,and they put a coin back into it and i think maybe they 're giving me a coin as a return gift but no this is one of the coins that i 'd given away <unk>
2873_AdamSavage_2016,i don 't know why <unk> and i keep on going i take some more pictures <unk> and then it happens again
2874_AdamSavage_2016,understand <unk> i can 't see anything inside this costume i can see through the mouth i can see people 's shoes <unk> i can hear what they 're saying and i can see their feet <unk> but the third time
2875_AdamSavage_2016,<unk> someone gives me back a coin i want to know what 's going on
2876_AdamSavage_2016,so i sort of tilt my head back to get a better view <unk> and what i see is someone walking away from me going like this <unk>
2877_AdamSavage_2016,and then it hits me it 's bad luck to take gold from no face in the film spirited away
2878_AdamSavage_2016,<unk> is cosplay
2879_AdamSavage_2016,we are all of us on that floor injecting ourselves into a narrative that meant something to us and we 're making it our own
2880_AdamSavage_2016,we 're connecting with something important
2881_AdamSavage_2016,inside of us and the costumes are how we reveal ourselves to each other thank you
2882_AdamSavage_2016,<unk> pure mathematics and world debating championships <unk> or as i like to say hello ladies
2883_AdamSavage_2016,<unk> didn 't get much sexier than the spence at university let me tell you it is such a thrill for a humble breakfast radio announcer from sydney australia to be here on the ted stage literally
2884_AdamSavage_2016,on the other side of the world and i wanted to let you know a lot of the things you 've heard about australians are true from the youngest of ages we display a prodigious sporting talent
2885_AdamSavage_2016,on the field of battle we are
2886_AdamSavage_2016,<unk> and noble warriors what you 've heard is true australians we don 't mind a bit of a drink
2887_AdamSavage_2016,<unk> sometimes to excess leading to embarrassing social situations this is
2888_AdamSavage_2016,my father 's work christmas party december <unk>
2889_AdamSpencer_2013,<unk> i 'm almost five years old fair to say i 'm enjoying the day a lot more than santa was but
2890_AdamSpencer_2013,i stand before you today not as a breakfast radio host not as a comedian but as someone who was
2891_AdamSpencer_2013,<unk> is and always will be
2892_AdamSpencer_2013,a mathematician
2893_AdamSpencer_2013,and anyone who 's been bitten by the numbers bug knows that it bites early and it bites deep <unk> i cast my mind back when i was in second grade
2894_AdamSpencer_2013,at a beautiful little government run school called boronia park in the suburbs of sydney <unk> and as we came up towards lunchtime our teacher
2895_AdamSpencer_2013,<unk> said to the class hey year two <unk> what do you want to do after lunch i 've got no plans it
2896_AdamSpencer_2013,was an exercise in democratic schooling <unk> and i am all for democratic schooling but we were only seven
2897_AdamSpencer_2013,so some of the suggestions we made as to what we might want to do after lunch were a little bit impractical <unk>
2898_AdamSpencer_2013,and after a while someone made a particularly silly suggestion and ms russell patted them down with that gentle aphorism that wouldn 't work
2899_AdamSpencer_2013,that 'd be like trying to put a square peg through a round hole
2900_AdamSpencer_2013,'t trying to be funny i just politely raised my hand and when ms russell acknowledged me i said in front of my year two classmates <unk> and i quote
2901_AdamSpencer_2013,but miss <unk>
2902_AdamSpencer_2013,surely if the diagonal of the square
2903_AdamSpencer_2013,is less than the diameter of the circle well the square peg will pass quite easily through the round hole
2904_AdamSpencer_2013,<unk> it 'd be like putting a piece of toast through a basketball hoop wouldn 't it and there was that same awkward silence from most of my classmates until
2905_AdamSpencer_2013,sitting next to me one of my friends one of the cool kids in class steven leaned across and punched me really hard in the head
2906_AdamSpencer_2013,now what steven was saying was look adam you are at a critical juncture in your life here my friend you can keep sitting here with us
2907_AdamSpencer_2013,any more of that sort of talk you 've got to go and sit over there
2908_AdamSpencer_2013,with them
2909_AdamSpencer_2013,i thought about it for a nanosecond i took one look at the road map of life <unk>
2910_AdamSpencer_2013,and i ran off down the street marked geek as fast as my chubby <unk> asthmatic little legs would carry me <unk>
2911_AdamSpencer_2013,i fell in love with mathematics from the earliest of ages i explained it
2912_AdamSpencer_2013,all my friends maths is beautiful <unk> it 's natural it 's everywhere numbers are the musical notes
2913_AdamSpencer_2013,with which the symphony of the universe is written
2914_AdamSpencer_2013,the great descartes said something quite similar the universe is written in the mathematical language and today <unk> i want to show you one of those musical notes a number
2915_AdamSpencer_2013,so beautiful
2916_AdamSpencer_2013,<unk> massive i think it will blow your mind
2917_AdamSpencer_2013,today we 're going to talk about prime numbers most of you i 'm sure remember that six is not prime because it 's two x three
2918_AdamSpencer_2013,seven is prime
2919_AdamSpencer_2013,because it 's one x seven but we can 't break it down into any smaller chunks or as we call them <unk> factors <unk> now a few things you might like to know about prime numbers <unk> one is not prime <unk> the proof
2920_AdamSpencer_2013,<unk> of that is a great party trick that admittedly only works at certain parties
2921_AdamSpencer_2013,another thing about primes there is no final biggest prime number they keep going on forever we know there are an infinite number <unk>
2922_AdamSpencer_2013,<unk> of primes due to the brilliant mathematician euclid over thousands of years ago he proved that for us
2923_AdamSpencer_2013,what is the biggest prime that we know about today we 're going to hunt for that massive prime <unk>
2924_AdamSpencer_2013,don 't freak out
2925_AdamSpencer_2013,all you need to know of all the mathematics you 've ever learned <unk> unlearned <unk> crammed <unk> forgotten <unk> never understood in the first place
2926_AdamSpencer_2013,<unk> is a prime number <unk> and that five in the power is also a prime number <unk>
2927_AdamSpencer_2013,and the vast bulk of massive primes we 've ever found are of that form <unk> two to a prime number <unk> take away one <unk> i won 't go into great detail as to why because most of your eyes will bleed out of your head if i do
2928_AdamSpencer_2013,<unk> suffice to say a number of that form is fairly easy to test
2929_AdamSpencer_2013,for primacy a random odd number is a lot harder to test
2930_AdamSpencer_2013,but as soon as we go hunting for massive primes we realize it 's not enough just to put in any prime number in the power
2931_AdamSpencer_2013,one = two thousand and forty seven and you don 't need me to tell you
2932_AdamSpencer_2013,<unk> prime numbers after that point they thin out a lot
2933_AdamSpencer_2013,and one of the things about the search for massive primes that i love so much is some of the great mathematical minds of all time have gone on this search this is the great swiss mathematician leonhard euler
2934_AdamSpencer_2013,in the <unk> 1700s other mathematicians said he is simply the master
2935_AdamSpencer_2013,<unk> he was so respected they put him on european currency back when that was a compliment
2936_AdamSpencer_2013,euler discovered at the time the world 's biggest prime two <unk>
2937_AdamSpencer_2013,<unk> one it 's over two billion <unk> he proved it was prime with nothing more than a quill ink paper and his mind
2938_AdamSpencer_2013,<unk> but one of the great things about the search for massive primes it 's not just finding the primes <unk>
2939_AdamSpencer_2013,<unk> digits long was not prime <unk>
2940_AdamSpencer_2013,but he didn 't know what the factors were
2941_AdamSpencer_2013,we knew it was like six but we didn 't know what are the two x three that multiply together to give us that massive number we didn 't know for almost forty years until frank nelson cole came along
2942_AdamSpencer_2013,<unk> a gathering of prestigious american mathematicians he walked to the board took up a piece of chalk <unk> and started writing out the powers of two <unk>
2943_AdamSpencer_2013,sixteen come on join in with me you know how it goes
2944_AdamSpencer_2013,powers of two <unk> he took away one and wrote that number on the board a frisson of excitement went around the room
2945_AdamSpencer_2013,<unk> it got even more exciting when he then wrote down these two large prime numbers in your standard multiplication format and for the rest of the hour of his talk
2946_AdamSpencer_2013,frank nelson cole busted that out
2947_AdamSpencer_2013,<unk> he had found the prime factors of two <unk>
2948_AdamSpencer_2013,the room went berserk
2949_AdamSpencer_2013,as frank nelson cole sat down having delivered the only talk in the history of mathematics with no words <unk>
2950_AdamSpencer_2013,he admitted afterwards it wasn 't that hard to do it took focus <unk> it took dedication <unk> it took him by his estimate
2951_AdamSpencer_2013,years of sundays
2952_AdamSpencer_2013,but then in the field of mathematics as in so many of the fields that we 've heard from in this ted <unk>
2953_AdamSpencer_2013,the age of the computer goes along and things explode <unk>
2954_AdamSpencer_2013,these are the largest prime numbers we knew decade by decade each one dwarfing the one before as
2955_AdamSpencer_2013,computers took over and our power to calculate just grew and grew this is the largest prime number we <unk>
2956_AdamSpencer_2013,a very emotional year for me
2957_AdamSpencer_2013,it was the year i left university <unk> i was torn between mathematics and media <unk> it was a tough decision i loved university
2958_AdamSpencer_2013,my arts degree was the best nine and a half years of my life
2959_AdamSpencer_2013,but i came to a realization about my own ability put simply in a room full of randomly selected people
2960_AdamSpencer_2013,<unk> i 'm a maths genius in a roomful of maths ph ds i 'm as dumb as a box of hammers
2961_AdamSpencer_2013,my skill is not in the mathematics it is in telling the story of the mathematics
2962_AdamSpencer_2013,and during that time since i 've left university these numbers have got bigger and bigger <unk> each one dwarfing the last until
2963_AdamSpencer_2013,<unk> curtis cooper
2964_AdamSpencer_2013,who a few years ago held the record for the largest ever prime
2965_AdamSpencer_2013,only to see it snatched away by a rival university <unk> and then curtis cooper got it back
2966_AdamSpencer_2013,not years ago not months ago <unk>
2967_AdamSpencer_2013,days ago in an amazing moment of serendipity i had to send ted a new slide
2968_AdamSpencer_2013,to show you what this guy had done <unk> i still remember
2969_AdamSpencer_2013,i still remember when it happened i was doing my breakfast radio show i looked down on twitter there was a tweet adam have you seen the new largest prime number i shivered
2970_AdamSpencer_2013,contacted the women who produced my radio show out in the other room and said girls hold the front page <unk>
2971_AdamSpencer_2013,we 're not talking politics today we 're not talking sport today <unk> they
2972_AdamSpencer_2013,<unk> the girls just shook their heads <unk> put them in their hands <unk> and let me go my own way it 's because of curtis cooper that we know <unk>
2973_AdamSpencer_2013,currently the largest prime number we know is two
2974_AdamSpencer_2013,eight hundred and
2975_AdamSpencer_2013,<unk> one hundred and sixty one don 't forget to subtract the one <unk> this number is almost seventeen and a half
2976_AdamSpencer_2013,<unk> if you typed it out on a computer and saved it as a text file that 's
2977_AdamSpencer_2013,meg for the slightly less geeky of you think about the harry potter novels okay <unk> this is the first harry potter novel
2978_AdamSpencer_2013,this is all seven harry potter novels because she did tend to faff on a bit near the end
2979_AdamSpencer_2013,written out as a book
2980_AdamSpencer_2013,<unk> this number would run the length of the harry potter novels and half again <unk>
2981_AdamSpencer_2013,here 's a slide of the first one thousand digits of this prime <unk>
2982_AdamSpencer_2013,if when ted had begun at eleven o 'clock on tuesday we 'd walked out and simply hit one slide every second <unk> it would have taken five hours to show you that number
2983_AdamSpencer_2013,i was keen to do it could not convince bono <unk> that 's the way
2984_AdamSpencer_2013,<unk> this number is seventeen and a half thousand slides long <unk> and we know it is prime
2985_AdamSpencer_2013,as confidently as we know the number seven is prime
2986_AdamSpencer_2013,that fills me with almost sexual excitement <unk>
2987_AdamSpencer_2013,and who am i kidding when i say almost
2988_AdamSpencer_2013,i know what you 're thinking
2989_AdamSpencer_2013,<unk> we 're happy
2990_AdamSpencer_2013,that you 're happy <unk>
2991_AdamSpencer_2013,but why should we care <unk>
2992_AdamSpencer_2013,let me give you just three reasons why this is so beautiful first of all as i explained to ask a computer is that number prime to type it in its abbreviated form <unk>
2993_AdamSpencer_2013,and then only about six lines of code is the test for primacy is a remarkably simple question to ask
2994_AdamSpencer_2013,it 's got a remarkably clear yes no answer
2995_AdamSpencer_2013,<unk> and just requires phenomenal grunt
2996_AdamSpencer_2013,large prime numbers are a great way of testing the speed and accuracy of computer chips <unk> but secondly as curtis cooper was looking for that monster prime he wasn 't the only guy searching
2997_AdamSpencer_2013,my laptop at home was looking through four potential candidate primes myself as part of a networked computer hunt around the world for these large
2998_AdamSpencer_2013,<unk> the discovery of that prime is similar to the work people are doing in unraveling rna sequences in searching through data from seti and other astronomical projects we live in an age
2999_AdamSpencer_2013,where some of the great breakthroughs are not going to happen in the labs or the halls of academia
3000_AdamSpencer_2013,but on laptops <unk> desktops in the palms of people 's hands who are simply helping out for the search <unk>
3001_AdamSpencer_2013,but for me it 's amazing because it 's a metaphor for the time in which we live
3002_AdamSpencer_2013,when human minds and machines can conquer
3003_AdamSpencer_2013,together <unk> we 've heard a lot about robots in this ted we 've heard a lot about what they can and can 't do it is true you can now download onto your smartphone an app
3004_AdamSpencer_2013,that would beat most grandmasters at chess you think that 's cool here 's a machine doing something cool this is the cubestormer ii
3005_AdamSpencer_2013,it can take a randomly shuffled
3006_AdamSpencer_2013,<unk> using the power of the smartphone <unk> it can examine the cube and solve the cube
3007_AdamSpencer_2013,in five seconds
3008_AdamSpencer_2013,that scares some people <unk> that excites me <unk>
3009_AdamSpencer_2013,how lucky are we to live in this age when mind and machine can work together <unk> i was asked in an interview
3010_AdamSpencer_2013,<unk> last year in my capacity as a lower case c celebrity in australia what was your highlight of two thousand and twelve
3011_AdamSpencer_2013,people were expecting me to talk about my beloved sydney swans football team <unk>
3012_AdamSpencer_2013,in our beautiful <unk> indigenous sport of australian football they won the equivalent of the super bowl <unk> i was there it was the most emotional exciting day <unk> it wasn 't my highlight of two thousand and twelve
3013_AdamSpencer_2013,people thought it might have been an interview i 'd done on my show it might have been a politician it might have been a breakthrough it might have been a book i read
3014_AdamSpencer_2013,<unk> the arts no no no it might have been something my two gorgeous daughters had done no it wasn 't the highlight of two thousand and twelve so clearly
3015_AdamSpencer_2013,was the discovery of the higgs boson
3016_AdamSpencer_2013,give it up for the fundamental particle
3017_AdamSpencer_2013,that bequeaths all other fundamental particles their mass and
3018_AdamSpencer_2013,what was so gorgeous about this discovery was fifty years ago peter higgs and his team considered one of the deepest of all questions
3019_AdamSpencer_2013,how is it that
3020_AdamSpencer_2013,the things that make us up have no mass <unk> i 've clearly got mass <unk>
3021_AdamSpencer_2013,where does it come from and he postulated a suggestion that there 's this infinite
3022_AdamSpencer_2013,incredibly small field stretching throughout the universe <unk> and as other particles go through those particles and interact <unk> that 's where they get their mass <unk> the rest of the scientific community said
3023_AdamSpencer_2013,<unk> higgsy <unk> we 've got no idea if we could ever prove it it 's beyond our reach and within just fifty years
3024_AdamSpencer_2013,in his lifetime with him sitting in the audience <unk>
3025_AdamSpencer_2013,we had designed the greatest machine ever
3026_AdamSpencer_2013,to prove this incredible idea that originated
3027_AdamSpencer_2013,<unk> that 's what is so exciting for me about this prime number we thought it might be there <unk>
3028_AdamSpencer_2013,and we went and found it
3029_AdamSpencer_2013,that is the essence of being human
3030_AdamSpencer_2013,that is what we are all about or as my friend descartes might put it we think
3031_AdamSpencer_2013,<unk> we 're declaring war against cancer <unk> and we will win this war by two thousand and fifteen
3032_AdamSpencer_2013,this is what the us congress and the national cancer institute declared just just a few years ago in two thousand and three
3033_AdamSpencer_2013,<unk> i don 't buy that i don 't think we quite won this war yet <unk> and i don 't think anyone here will will question that <unk>
3034_AdamSpencer_2013,now <unk> i will argue that a primary reason why we 're not winning this war against cancer is because we 're fighting blindly
3035_AdamSpencer_2013,i 'm going to start by sharing with you a story about a good friend of mine his name is ehud
3036_AdamSpencer_2013,and
3037_AdamSpencer_2013,a few years ago ehud was diagnosed with brain cancer and not just any type of brain cancer he was diagnosed with one of the most deadly forms of brain cancer in fact it was so deadly that
3038_AdamSpencer_2013,doctors told him that they only have twelve months <unk> and during those twelve months they have to find a treatment they have to find a cure <unk>
3039_AdamdelaZerda_2016X,and if they cannot find a cure <unk> he will die <unk>
3040_AdamdelaZerda_2016X,now the good news they said is that there are tons of different treatments to choose from but the bad news
3041_AdamdelaZerda_2016X,is that in order for them to tell if a treatment is even working or not well that takes them about three months or so so they cannot try that many things
3042_AdamdelaZerda_2016X,<unk> well <unk> ehud is now going into his first treatment <unk>
3043_AdamdelaZerda_2016X,and during that first treatment just a few days into that treatment i 'm meeting with him and he tells me adam i think this is working i think we really lucked out here
3044_AdamdelaZerda_2016X,<unk> something is happening and i ask him really <unk> how do you know that ehud and he says well i feel so terrible inside
3045_AdamdelaZerda_2016X,<unk> something 's gotta be working up there it just has to
3046_AdamdelaZerda_2016X,<unk> three months later we got the news <unk> it didn 't work <unk>
3047_AdamdelaZerda_2016X,and so ehud goes into his second treatment <unk> and again the same story it feels so bad something 's gotta be working there
3048_AdamdelaZerda_2016X,and then three months later again we get bad news ehud
3049_AdamdelaZerda_2016X,is going into his third treatment and then his fourth treatment <unk> and then as predicted <unk> ehud dies <unk>
3050_AdamdelaZerda_2016X,now <unk> when someone really close to you is going through such a huge struggle you get really swamped with emotions a lot of things are going through your head
3051_AdamdelaZerda_2016X,<unk> for me it was mostly outrage i was just outraged that
3052_AdamdelaZerda_2016X,that how come this is the best that we can offer <unk>
3053_AdamdelaZerda_2016X,and i started looking more and more into this as it turns out this is not just the best that doctors could offer ehud it 's not just the best doctors could offer
3054_AdamdelaZerda_2016X,patients with brain cancer generally we 're actually not doing that well all across the board with cancer <unk>
3055_AdamdelaZerda_2016X,i picked up one of those statistics and i 'm sure some of you have seen those statistics before
3056_AdamdelaZerda_2016X,<unk> this is going to show you here how many patients actually died of cancer in this case females in the united states <unk> ever since the <unk>
3057_AdamdelaZerda_2016X,<unk> notice that there aren 't that many things that have changed it 's still a huge issue
3058_AdamdelaZerda_2016X,you 'll see a few changes though you 'll see lung cancer for example on the rise <unk> thank you cigarettes <unk>
3059_AdamdelaZerda_2016X,and you 'll also see that for example stomach cancer once used to be one of the biggest killers of all cancers is essentially eliminated
3060_AdamdelaZerda_2016X,now why is that anyone knows by the way why is it that that humanity is no longer struck by stomach cancer <unk> what was the huge huge
3061_AdamdelaZerda_2016X,medical technology breakthrough that came to our world that saved humanity from from stomach cancer
3062_AdamdelaZerda_2016X,<unk> was it maybe a new drug <unk> or a better diagnostic you guys are right
3063_AdamdelaZerda_2016X,<unk> it 's the invention of the refrigerator and the fact that we 're no longer eating spoiled meats so the best thing that happened to us so far
3064_AdamdelaZerda_2016X,in the medical arena in cancer research is the fact that the refrigerator was invented
3065_AdamdelaZerda_2016X,laughter and so yeah <unk> i know we 're not doing so well here i don 't want to miniaturize the progress and
3066_AdamdelaZerda_2016X,and everything that 's been done in cancer research look there is like 50 plus years of good cancer research
3067_AdamdelaZerda_2016X,that discovered major major things that taught us about cancer <unk> but all that said
3068_AdamdelaZerda_2016X,<unk> we have a lot of heavy lifting to still do ahead of us
3069_AdamdelaZerda_2016X,again i will argue that the primary reason why this is the case why we have not done that remarkably well is really we 're fighting blindly here and this is where medical imaging comes in this is where my own work comes in
3070_AdamdelaZerda_2016X,and so to give you a sense of the best medical imaging that 's offered today to brain cancer patients or actually generally to all cancer patients take a look at this pet scan
3071_AdamdelaZerda_2016X,<unk> right here let 's see there we go so this is a pet ct scan and what you 'll see in this pet ct scan
3072_AdamdelaZerda_2016X,is the ct scan will show you where the bones are and the pet scan will show you where tumors are
3073_AdamdelaZerda_2016X,now <unk> what you can see here is essentially a sugar molecule that was added a small little tag that is
3074_AdamdelaZerda_2016X,<unk> and those sugar molecules are injected into these patients by the billions and they 're going all over the body looking for cells that are hungry for sugar
3075_AdamdelaZerda_2016X,you 'll see that the heart for example lights up there that 's because the heart needs a lot of sugar
3076_AdamdelaZerda_2016X,you 'll also see that the bladder lights up there that 's because the bladder is the thing that 's clearing the sugar away from our body
3077_AdamdelaZerda_2016X,and then you 'll see a few other hot spots and these
3078_AdamdelaZerda_2016X,<unk> a wonderful technology for the first time it allowed us to look into someone 's body without picking up each and every one of the cells and putting them under the microscope but in a noninvasive way
3079_AdamdelaZerda_2016X,allowing us to look into someone 's body and ask hey <unk> has the cancer metastasized where is it and the pet scans here are showing you very clearly
3080_AdamdelaZerda_2016X,where are these hot spots where is the tumor <unk> so <unk>
3081_AdamdelaZerda_2016X,<unk> as miraculous as this might seem unfortunately well <unk> it 's not that great
3082_AdamdelaZerda_2016X,<unk> you see those small little hot spots there can anyone guess how many cancer cells are in any one of these tumors <unk>
3083_AdamdelaZerda_2016X,so it 's about one hundred million cancer cells and let me make sure that this number sunk in
3084_AdamdelaZerda_2016X,in each and every one of these small little blips that you 're seeing on the image there needs to be at least one hundred million
3085_AdamdelaZerda_2016X,<unk> cancer cells in order for it to be detected now if that seemed to you like a very large number it is a very large number
3086_AdamdelaZerda_2016X,this is in fact an incredibly large number because what we really need in order to pick up something early enough to do something about it to do something meaningful about it
3087_AdamdelaZerda_2016X,well <unk> we need to pick up tumors that are a thousand cells in size <unk> and ideally just a handful of cells in size <unk> so we 're clearly pretty far away from this
